VARNAMES: CID HOSTGAL_LOGMASS
SN: PSc000001 9.608
SN: PSc000006 10.258
SN: PSc000010 10.495
SN: PSc000011 10.852
SN: PSc000013 9.903
SN: PSc000014 10.15
SN: PSc000015 9.314
SN: PSc000017 9.37
SN: PSc000018 10.381
SN: PSc000022 10.748
SN: PSc000031 10.277
SN: PSc000032 10.392
SN: PSc000034 8.727
SN: PSc000036 9.448
SN: PSc000038 9.112
SN: PSc000048 10.606
SN: PSc000051 9.741
SN: PSc000059 -9
SN: PSc000060 10.341
SN: PSc000063 10.527
SN: PSc000068 10.142
SN: PSc000069 8.74
SN: PSc000070 8.998
SN: PSc000075 9.645
SN: PSc000076 10.996
SN: PSc000077 10.338
SN: PSc000080 9.089
SN: PSc000084 7.783
SN: PSc000086 9.524
SN: PSc000089 9.907
SN: PSc000090 10.102
SN: PSc000091 8.254
SN: PSc000095 10.496
SN: PSc000097 8.854
SN: PSc000098 9.501
SN: PSc000101 10.267
SN: PSc000102 10.946
SN: PSc000137 10.668
SN: PSc000140 9.898
SN: PSc000141 9.832
SN: PSc000142 10.827
SN: PSc000150 10.399
SN: PSc000153 10.281
SN: PSc000156 10.2
SN: PSc000173 8.753
SN: PSc000174 10.134
SN: PSc000175 9.616
SN: PSc000177 8.92
SN: PSc000181 10.893
SN: PSc000182 10.968
SN: PSc000186 10.915
SN: PSc000187 10.314
SN: PSc000190 8.932
SN: PSc000191 9.277
SN: PSc000196 9.315
SN: PSc000198 10.746
SN: PSc000199 10.081
SN: PSc000200 11.125
SN: PSc000202 9.145
SN: PSc000209 -9
SN: PSc000210 10.106
SN: PSc000215 8.211
SN: PSc000217 7.116
SN: PSc000218 10.036
SN: PSc000220 11.066
SN: PSc000225 8.131
SN: PSc000227 8.707
SN: PSc000229 -9
SN: PSc000230 9.511
SN: PSc000231 9.608
SN: PSc000236 10.445
SN: PSc000237 -9
SN: PSc000248 10.769
SN: PSc000254 10.742
SN: PSc000255 -9
SN: PSc000259 8.853
SN: PSc000260 11.064
SN: PSc000261 8.622
SN: PSc000267 -9
SN: PSc000268 8.97
SN: PSc000271 -9
SN: PSc000275 10.515
SN: PSc000288 10.041
SN: PSc000299 -9
SN: PSc000311 12.072
SN: PSc000324 -9
SN: PSc000339 8.912
SN: PSc000345 10.723
SN: PSc000349 10.756
SN: PSc000353 10.446
SN: PSc000363 8.465
SN: PSc000380 -9
SN: PSc000388 9.787
SN: PSc000392 9.778
SN: PSc000415 -9
SN: PSc000417 -9
SN: PSc000418 10.964
SN: PSc000420 8.994
SN: PSc000421 10.195
SN: PSc000428 -9
SN: PSc000433 9.518
SN: PSc000445 9.747
SN: PSc000448 10.505
SN: PSc000452 9.722
SN: PSc000474 9.296
SN: PSc000478 -9
SN: PSc000511 10.57
SN: PSc000518 10.67
SN: PSc000525 8.126
SN: PSc000536 10.089
SN: PSc000538 10.682
SN: PSc000544 10.454
SN: PSc000551 10.574
SN: PSc000552 10.947
SN: PSc000553 10.101
SN: PSc000554 9.073
