VARNAMES: CID HOSTGAL_LOGMASS
SN: 679 9.312999999999999
SN: 680 -9.0
SN: 682 9.841000000000001
SN: 685 20.691
SN: 688 9.984
SN: 689 10.592
SN: 691 10.195
SN: 692 10.335999999999999
SN: 694 10.853
SN: 695 10.914000000000001
SN: 696 21.156999999999996
SN: 697 9.484
SN: 698 9.698
SN: 699 -9.0
SN: 700 10.322000000000001
SN: 701 10.732000000000001
SN: 702 10.995
SN: 703 9.967
SN: 704 9.702
SN: 706 -9.0
SN: 708 10.300999999999998
SN: 709 9.898
SN: 710 10.699000000000002
SN: 711 -9.0
SN: 712 11.347999999999999
SN: 714 -9.0
SN: 716 8.993
SN: 717 10.786
SN: 718 10.669
SN: 719 9.986
SN: 720 -9.0
SN: 722 10.585999999999999
SN: 724 -9.0
SN: 728 10.364
SN: 730 10.632
SN: 734 11.227
SN: 735 10.561
SN: 736 -9.0
SN: 739 10.823
SN: 740 -9.0
SN: 741 9.649
SN: 742 10.838
SN: 744 10.046
SN: 746 -9.0
SN: 747 -9.0
SN: 748 -9.0
SN: 750 -9.0
SN: 752 10.722000000000001
SN: 757 -9.0
SN: 760 -9.0
SN: 761 -9.0
SN: 762 10.867
SN: 763 8.985
SN: 764 9.877
SN: 765 9.677
SN: 766 -9.0
SN: 767 -9.0
SN: 768 10.737
SN: 769 -9.0
SN: 770 9.562999999999999
SN: 771 9.331
SN: 772 10.873
SN: 773 9.18
SN: 774 10.437999999999999
SN: 775 -9.0
SN: 779 -9.0
SN: 780 -9.0
SN: 781 -9.0
SN: 782 10.389000000000001
SN: 783 -9.0
SN: 785 8.242
SN: 789 -9.0
SN: 792 10.907
SN: 793 -9.0
SN: 796 -9.0
SN: 798 -9.0
SN: 799 -9.0
SN: 800 10.49
SN: 801 9.892999999999999
SN: 803 20.985
SN: 805 -9.0
SN: 809 -9.0
SN: 816 -9.0
SN: 818 9.955
SN: 819 -9.0
SN: 820 9.825
SN: 821 -9.0
SN: 822 9.603
SN: 824 10.4
SN: 829 10.64
SN: 830 10.234
SN: 831 -9.0
SN: 832 -9.0
SN: 834 -9.0
SN: 835 10.048
SN: 837 10.876
SN: 839 -9.0
SN: 840 -9.0
SN: 841 -9.0
SN: 843 8.478
SN: 846 20.053
SN: 847 -9.0
SN: 850 -9.0
SN: 853 9.638
SN: 854 10.839
SN: 855 -9.0
SN: 856 -9.0
SN: 858 -9.0
SN: 859 9.275
SN: 860 10.449000000000002
SN: 861 10.617
SN: 862 -9.0
SN: 863 10.102
SN: 864 -9.0
SN: 865 -9.0
SN: 866 -9.0
SN: 867 -9.0
SN: 870 10.734000000000002
SN: 874 -9.0
SN: 875 -9.0
SN: 876 9.829
SN: 877 -9.0
SN: 879 10.831
SN: 881 -9.0
SN: 883 10.689
SN: 884 9.9
SN: 885 10.275
SN: 891 9.7
SN: 893 19.857
SN: 894 -9.0
SN: 895 10.784
SN: 896 10.895999999999999
SN: 897 10.048
SN: 899 -9.0
SN: 901 -9.0
SN: 904 20.679000000000002
SN: 907 9.126
SN: 908 10.502
SN: 910 9.94
SN: 911 9.851
SN: 912 -9.0
SN: 913 10.085
SN: 914 -9.0
SN: 917 -9.0
SN: 918 -9.0
SN: 919 -9.0
SN: 920 -9.0
SN: 921 10.690999999999999
SN: 923 -9.0
SN: 926 -9.0
SN: 927 -9.0
SN: 928 -9.0
SN: 929 -9.0
SN: 930 10.638
SN: 931 -9.0
SN: 932 11.164000000000001
SN: 933 10.052999999999999
SN: 934 -9.0
SN: 935 -9.0
SN: 936 10.364
SN: 938 10.850999999999999
SN: 940 -9.0
SN: 941 -9.0
SN: 942 -9.0
SN: 943 -9.0
SN: 945 8.151
SN: 946 9.387
SN: 947 -9.0
SN: 948 -9.0
SN: 949 -9.0
SN: 950 -9.0
SN: 952 10.305
SN: 953 -9.0
SN: 954 10.624
SN: 955 -9.0
SN: 957 9.635
SN: 976 10.757
SN: 977 10.468
SN: 979 10.997
SN: 980 -9.0
SN: 981 -9.0
SN: 982 -9.0
SN: 983 10.219
SN: 984 -9.0
SN: 985 -9.0
SN: 986 10.107000000000001
SN: 988 -9.0
SN: 991 -9.0
SN: 992 10.78
SN: 993 -9.0
SN: 995 -9.0
SN: 996 -9.0
SN: 999 10.095
SN: 1000 10.270999999999999
SN: 1001 -9.0
SN: 1008 10.146
SN: 1014 -9.0
SN: 1015 -9.0
SN: 1017 -9.0
SN: 1023 10.287
SN: 1024 -9.0
SN: 1025 10.154
SN: 1027 10.488
SN: 1029 9.742
SN: 1031 10.613
SN: 1032 10.290999999999999
SN: 1033 -9.0
SN: 1034 7.473
SN: 1038 13.130999999999998
SN: 1039 -9.0
SN: 1040 10.325999999999999
SN: 1041 10.323
SN: 1042 -9.0
SN: 1047 -9.0
SN: 1048 -9.0
SN: 1049 -9.0
SN: 1108 10.057
SN: 1109 -9.0
SN: 1110 5.0
SN: 1111 -9.0
SN: 1112 10.524000000000001
SN: 1113 10.436
SN: 1114 -9.0
SN: 1115 -9.0
SN: 1119 10.636
SN: 1121 -9.0
SN: 1122 -9.0
SN: 1123 10.607000000000001
SN: 1125 -9.0
SN: 1126 10.835
SN: 1127 10.963
SN: 1128 -9.0
SN: 1129 9.147
SN: 1130 10.94
SN: 1131 9.537
SN: 1132 10.131
SN: 1133 10.175
SN: 1134 -9.0
SN: 1135 10.663
SN: 1136 10.614
SN: 1137 10.081
SN: 1138 10.142000000000001
SN: 1139 20.655
SN: 1141 -9.0
SN: 1143 -9.0
SN: 1145 10.51
SN: 1147 -9.0
SN: 1148 -9.0
SN: 1149 -9.0
SN: 1150 10.758
SN: 1151 9.272
SN: 1152 10.58
SN: 1153 10.096
SN: 1155 9.957
SN: 1156 -9.0
SN: 1158 10.677999999999999
SN: 1159 -9.0
SN: 1161 10.633
SN: 1162 10.304
SN: 1163 10.875
SN: 1164 8.981
SN: 1165 -9.0
SN: 1166 10.769
SN: 1168 10.589
SN: 1170 9.628
SN: 1171 -9.0
SN: 1172 -9.0
SN: 1173 7.55
SN: 1174 -9.0
SN: 1175 9.827
SN: 1176 10.34
SN: 1177 -9.0
SN: 1179 10.437999999999999
SN: 1181 9.779
SN: 1182 -9.0
SN: 1183 10.455
SN: 1184 10.211
SN: 1185 10.427
SN: 1186 -9.0
SN: 1187 10.617
SN: 1188 10.946
SN: 1189 10.211
SN: 1190 -9.0
SN: 1191 11.124
SN: 1192 10.007
SN: 1193 9.88
SN: 1194 -9.0
SN: 1195 -9.0
SN: 1196 10.105
SN: 1197 -9.0
SN: 1198 -9.0
SN: 1199 -9.0
SN: 1200 -9.0
SN: 1201 -9.0
SN: 1203 9.726
SN: 1204 10.107000000000001
SN: 1205 -9.0
SN: 1206 10.735999999999999
SN: 1208 9.965
SN: 1209 9.967
SN: 1210 -9.0
SN: 1211 -9.0
SN: 1212 -9.0
SN: 1214 9.091000000000001
SN: 1222 -9.0
SN: 1223 -9.0
SN: 1224 8.102
SN: 1225 -9.0
SN: 1226 9.669
SN: 1227 -9.0
SN: 1229 11.187999999999999
SN: 1230 -9.0
SN: 1232 -9.0
SN: 1235 -9.0
SN: 1236 -9.0
SN: 1237 10.078
SN: 1238 9.8
SN: 1239 10.06
SN: 1241 10.199
SN: 1242 -9.0
SN: 1243 9.184
SN: 1244 -9.0
SN: 1245 -9.0
SN: 1246 -9.0
SN: 1248 9.996
SN: 1250 -9.0
SN: 1251 10.445
SN: 1253 10.831
SN: 1254 -9.0
SN: 1255 10.68
SN: 1256 -9.0
SN: 1257 9.354
SN: 1258 -9.0
SN: 1259 13.815
SN: 1260 9.979
SN: 1261 -9.0
SN: 1262 10.005
SN: 1264 10.145
SN: 1265 19.507
SN: 1266 -9.0
SN: 1268 -9.0
SN: 1269 -9.0
SN: 1271 9.764
SN: 1272 10.401
SN: 1273 10.655
SN: 1274 10.062000000000001
SN: 1275 -9.0
SN: 1276 20.584
SN: 1277 9.802
SN: 1278 10.245
SN: 1279 -9.0
SN: 1281 9.616
SN: 1282 20.912
SN: 1283 -9.0
SN: 1285 -9.0
SN: 1286 -9.0
SN: 1287 -9.0
SN: 1288 9.777999999999999
SN: 1291 -9.0
SN: 1293 10.960999999999999
SN: 1294 10.918
SN: 1295 10.562999999999999
SN: 1296 -9.0
SN: 1297 9.969
SN: 1298 11.058
SN: 1300 -9.0
SN: 1301 -9.0
SN: 1302 -9.0
SN: 1303 11.285
SN: 1304 -9.0
SN: 1305 10.591
SN: 1306 -9.0
SN: 1307 -9.0
SN: 1308 -9.0
SN: 1309 -9.0
SN: 1310 -9.0
SN: 1311 9.982000000000001
SN: 1312 9.775
SN: 1313 -9.0
SN: 1314 -9.0
SN: 1315 -9.0
SN: 1316 9.38
SN: 1317 -9.0
SN: 1319 -9.0
SN: 1322 -9.0
SN: 1323 -9.0
SN: 1324 -9.0
SN: 1325 -9.0
SN: 1327 -9.0
SN: 1328 -9.0
SN: 1329 9.09
SN: 1330 -9.0
SN: 1331 6.245
SN: 1332 8.658
SN: 1333 -9.0
SN: 1334 10.265
SN: 1335 -9.0
SN: 1336 -9.0
SN: 1337 -9.0
SN: 1338 -9.0
SN: 1339 -9.0
SN: 1341 -9.0
SN: 1342 10.478
SN: 1343 -9.0
SN: 1344 -9.0
SN: 1345 -9.0
SN: 1346 -9.0
SN: 1347 -9.0
SN: 1349 -9.0
SN: 1351 20.239
SN: 1352 -9.0
SN: 1353 -9.0
SN: 1354 10.527999999999999
SN: 1355 -9.0
SN: 1356 -9.0
SN: 1357 -9.0
SN: 1359 10.970999999999998
SN: 1360 -9.0
SN: 1361 -9.0
SN: 1363 9.707
SN: 1364 10.016
SN: 1366 -9.0
SN: 1367 -9.0
SN: 1368 -9.0
SN: 1369 -9.0
SN: 1370 -9.0
SN: 1371 10.832
SN: 1372 9.684
SN: 1373 9.838
SN: 1374 10.183
SN: 1375 10.13
SN: 1376 10.329
SN: 1377 -9.0
SN: 1378 9.812000000000001
SN: 1379 -9.0
SN: 1380 -9.0
SN: 1381 -9.0
SN: 1382 -9.0
SN: 1383 -9.0
SN: 1384 -9.0
SN: 1385 10.264000000000001
SN: 1386 10.123
SN: 1387 10.12
SN: 1388 -9.0
SN: 1389 -9.0
SN: 1390 10.083
SN: 1391 10.999
SN: 1392 9.363
SN: 1393 -9.0
SN: 1394 -9.0
SN: 1395 10.619000000000002
SN: 1396 10.821
SN: 1397 -9.0
SN: 1400 10.954
SN: 1401 -9.0
SN: 1402 9.351
SN: 1403 9.105
SN: 1404 10.384
SN: 1405 10.943
SN: 1406 10.057
SN: 1407 11.335999999999999
SN: 1408 9.936
SN: 1409 -9.0
SN: 1410 -9.0
SN: 1411 -9.0
SN: 1412 -9.0
SN: 1413 9.036
SN: 1414 10.023
SN: 1415 11.055
SN: 1417 -9.0
SN: 1418 20.695999999999998
SN: 1420 -9.0
SN: 1422 -9.0
SN: 1423 10.713
SN: 1424 -9.0
SN: 1425 10.912
SN: 1426 -9.0
SN: 1427 10.530999999999999
SN: 1428 9.856
SN: 1430 -9.0
SN: 1431 10.543
SN: 1432 -9.0
SN: 1433 -9.0
SN: 1435 -9.0
SN: 1436 -9.0
SN: 1437 10.838
SN: 1438 -9.0
SN: 1439 9.99
SN: 1440 -9.0
SN: 1441 -9.0
SN: 1442 -9.0
SN: 1444 -9.0
SN: 1445 -9.0
SN: 1446 10.605
SN: 1447 -9.0
SN: 1449 10.089
SN: 1450 9.577
SN: 1451 -9.0
SN: 1452 10.713
SN: 1453 -9.0
SN: 1454 9.847000000000001
SN: 1455 9.774
SN: 1456 9.236
SN: 1457 10.353
SN: 1458 -9.0
SN: 1459 -9.0
SN: 1460 -9.0
SN: 1461 10.504000000000001
SN: 1462 -9.0
SN: 1463 -9.0
SN: 1464 -9.0
SN: 1465 -9.0
SN: 1467 -9.0
SN: 1468 9.877
SN: 1469 9.491
SN: 1470 7.774
SN: 1472 8.123
SN: 1474 -9.0
SN: 1475 -9.0
SN: 1476 -9.0
SN: 1477 9.66
SN: 1478 10.427
SN: 1479 -9.0
SN: 1480 -9.0
SN: 1481 -9.0
SN: 1483 9.892000000000001
SN: 1484 -9.0
SN: 1485 10.232999999999999
SN: 1486 -9.0
SN: 1488 -9.0
SN: 1489 -9.0
SN: 1490 -9.0
SN: 1492 9.974
SN: 1495 10.285
SN: 1497 -9.0
SN: 1498 10.384
SN: 1499 -9.0
SN: 1500 9.74
SN: 1502 -9.0
SN: 1503 -9.0
SN: 1504 9.687999999999999
SN: 1506 -9.0
SN: 1507 -9.0
SN: 1508 11.038
SN: 1511 11.084000000000001
SN: 1513 8.466000000000001
SN: 1514 8.875
SN: 1515 -9.0
SN: 1517 -9.0
SN: 1520 -9.0
SN: 1523 -9.0
