# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1000         1 0.12847 0.12947 39.21601  0.13610  0.00000  0.02062
SN: 10054        1 0.07753 0.07816 39.93522 277.88290  0.00000  0.06084
SN: 1008         1 0.22522 0.22616 40.14431  0.14850  0.00000  0.02730
SN: 10106        1 0.14698 0.14760 39.33297  0.31440  0.00000  0.06573
SN: 10113        1 0.17600 0.17650 40.36226 301.65120  0.00000  0.03848
SN: 10297        1 0.14709 0.14832 39.82188 293.96850  0.00000  0.05041
SN: 1032         1 0.12912 0.12976 38.84393  0.18610  0.00000  0.05055
SN: 10324        1 0.25057 0.25178 40.38117  0.18760  0.00000  0.02221
SN: 10434        1 0.10299 0.10416 38.45687  0.12720  0.00000  0.02046
SN: 10928        1 0.08074 0.08191 38.19038  0.56100  0.00000  0.08332
SN: 10976        1 0.09459 0.09561 39.09829  2.16930  0.00000  0.06851
SN: 11083        1 0.12088 0.12200 39.72526 325.23510  0.00000  0.04771
SN: 1112         1 0.25642 0.25763 40.63477  0.19710  0.00000  0.02535
SN: 11120        1 0.10613 0.10726 38.41736  0.14480  0.00000  0.01429
SN: 11172        1 0.13520 0.13630 39.43345 193.29870  0.00000  0.04101
SN: 11306        1 0.27307 0.27351 40.76860  0.22720  0.00000  0.02315
SN: 12308        1 0.27876 0.27999 40.89132  0.23560  0.00000  0.02347
SN: 1241         1 0.08862 0.08982 37.98478  0.16870  0.00000  0.03676
SN: 1253         1 0.26199 0.26311 40.51747  0.16720  0.00000  0.02198
SN: 12804        1 0.13264 0.13370 38.93203  0.21730  0.00000  0.02832
SN: 12852        1 0.26298 0.26400 40.73705  0.21760  0.00000  0.05177
SN: 12856        1 0.17049 0.17167 39.58542  0.14210  0.00000  0.02206
SN: 12860        1 0.12060 0.12172 38.77765  0.20210  0.00000  0.05825
SN: 12862        1 0.07718 0.07819 39.48200 253.88580  0.00000  0.03711
SN: 12874        1 0.24386 0.24508 40.28779  0.15290  0.00000  0.02188
SN: 12881        1 0.23700 0.23813 40.21399  0.18280  0.00000  0.01162
SN: 12883        1 0.30600 0.30700 40.74269  0.22400  0.00000  0.07258
SN: 12898        1 0.08262 0.08358 37.78349  0.23780  0.00000  0.04455
SN: 12907        1 0.13108 0.13211 38.89673  0.13050  0.00000  0.02663
