# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: PS0909010   15 0.27000 0.27100 40.66109  0.21170  0.00000  0.01264
SN: PS0910017   15 0.32000 0.32107 40.92095  0.20350  0.00000  0.02357
SN: PS0910021   15 0.25600 0.25647 40.33405  0.19620  0.00000  0.01285
SN: PSc000006   15 0.23060 0.23090 40.31186  0.20860  0.00000  0.05792
SN: PSc000010   15 0.24570 0.24450 40.49145  0.15920  0.00000  0.01862
SN: PSc000011   15 0.38120 0.38000 41.73044  0.16290  0.00000  0.04309
SN: PSc000014   15 0.13610 0.13690 39.02335  0.13940  0.00000  0.03455
SN: PSc000038   15 0.15050 0.15130 39.24742  0.15040  0.00000  0.01526
SN: PSc000063   15 0.54430 0.54342 42.42439  0.11810  0.00000  0.02564
SN: PSc000069   15 0.33660 0.33579 41.28366  0.13270  0.00000  0.02607
SN: PSc000076   15 0.26030 0.25970 41.85771 178.91840  0.00000  0.01393
SN: PSc000077   15 0.50710 0.50650 42.65450  0.15150  0.00000  0.01534
SN: PSc000080   15 0.45180 0.45120 42.14713  0.10730  0.00000  0.00977
SN: PSc000086   15 0.46050 0.45965 42.32517  0.14300  0.00000  0.02269
SN: PSc000090   15 0.36810 0.36728 41.61909  0.15280  0.00000  0.03742
SN: PSc000095   15 0.33090 0.33030 41.36734  0.13120  0.00000  0.02142
SN: PSc000102   15 0.24000 0.23915 40.04346  0.12650  0.00000  0.01435
SN: PSc000142   15 0.43650 0.43600 42.14519  0.14760  0.00000  0.01428
SN: PSc000150   15 0.20720 0.20670 40.11477  0.11130  0.00000  0.02006
SN: PSc000156   15 0.43860 0.43810 41.82835  0.12150  0.00000  0.01205
SN: PSc000174   15 0.24490 0.24430 40.42298  0.17890  0.00000  0.04029
SN: PSc000190   15 0.10230 0.10110 38.58140  0.16480  0.00000  0.02486
SN: PSc000196   15 0.35030 0.34910 41.30536  0.14560  0.00000  0.00881
SN: PSc000199   15 0.37120 0.37000 41.48872  0.09620  0.00000  0.03342
SN: PSc000200   15 0.43180 0.43060 41.95725  0.18020  0.00000  0.01584
SN: PSc000202   15 0.61920 0.61800 42.80494  0.09420  0.00000  0.03599
SN: PSc000210   15 0.61150 0.61040 42.99867  0.11140  0.00000  0.03086
SN: PSc000215   15 0.46610 0.46490 42.15358  0.09870  0.00000  0.02660
SN: PSc000220   15 0.21960 0.21840 40.18260  0.10770  0.00000  0.02455
SN: PSc000225   15 0.41540 0.41458 42.27693  0.16460  0.00000  0.01198
SN: PSc000227   15 0.49740 0.49690 42.54087  0.19030  0.00000  0.03923
SN: PSc000236   15 0.19590 0.19530 39.84277  0.11180  0.00000  0.01361
SN: PSc000254   15 0.22600 0.22530 41.46540 235.71360  0.00000  0.07598
SN: PSc000260   15 0.56110 0.56040 42.46436  0.12490  0.00000  0.05866
SN: PSc000268   15 0.64040 0.63980 43.08065  0.10120  0.00000  0.03938
SN: PSc000345   15 0.34270 0.34220 41.34070  0.11710  0.00000  0.02464
SN: PSc000349   15 0.48180 0.48120 42.01722  0.15680  0.00000  0.04813
SN: PSc000353   15 0.26840 0.26754 40.19699  0.21090  0.00000  0.07333
SN: PSc000420   15 0.31120 0.31000 41.06602  0.14500  0.00000  0.01300
SN: PSc000552   15 0.33320 0.33200 41.18273  0.12170  0.00000  0.02086
SN: PSc010009   15 0.14320 0.14210 39.27225  0.18880  0.00000  0.04964
SN: PSc010010   15 0.09940 0.09820 38.55358  0.17650  0.00000  0.02721
SN: PSc010014   15 0.21610 0.21490 40.24354  0.12420  0.00000  0.01448
SN: PSc010024   15 0.41990 0.41930 41.94437  0.16150  0.00000  0.01530
SN: PSc010029   15 0.41440 0.41369 41.96735  0.19310  0.00000  0.01971
SN: PSc010055   15 0.30360 0.30240 40.94131  0.17830  0.00000  0.02546
SN: PSc010167   15 0.11940 0.11880 39.60243 10.46680  0.00000  0.05897
SN: PSc010174   15 0.21920 0.21800 40.06331  0.27010  0.00000  0.05735
SN: PSc010178   15 0.37550 0.37500 41.44163  0.12810  0.00000  0.01755
SN: PSc010191   15 0.38690 0.38640 41.59832  0.13820  0.00000  0.01582
SN: PSc010199   15 0.25730 0.25655 40.56021  0.16690  0.00000  0.01009
SN: PSc010203   15 0.08730 0.08670 37.83291  0.11520  0.00000  0.02376
SN: PSc010222   15 0.40810 0.40740 41.78775  0.16270  0.00000  0.01323
SN: PSc010230   15 0.30320 0.30250 41.16605  0.16520  0.00000  0.00825
SN: PSc010430   15 0.32650 0.32590 41.08748  0.17000  0.00000  0.01637
SN: PSc020026   15 0.32060 0.31990 41.25560  0.12600  0.00000  0.03434
SN: PSc020027   15 0.10980 0.10910 38.63160  0.15510  0.00000  0.02887
SN: PSc020034   15 0.19910 0.19840 39.76068  0.19110  0.00000  0.04662
SN: PSc020047   15 0.26610 0.26500 41.73772  0.37800  0.00000  0.03306
SN: PSc020056   15 0.12270 0.12223 38.59019  0.18600  0.00000  0.01906
SN: PSc020057   15 0.23600 0.23552 40.29750  0.15910  0.00000  0.01896
SN: PSc020071   15 0.22450 0.22366 41.10685  4.61840  0.00000  0.10644
SN: PSc020096   15 0.22550 0.22500 40.12252  0.14790  0.00000  0.02125
SN: PSc020104   15 0.30630 0.30510 41.15927  0.17920  0.00000  0.01989
SN: PSc020120   15 0.26820 0.26673 40.83336  0.20160  0.00000  0.01320
SN: PSc020148   15 0.10230 0.10170 38.27125  0.12930  0.00000  0.01159
SN: PSc020176   15 0.26040 0.26000 40.56061  0.15840  0.00000  0.01855
SN: PSc020194   15 0.24580 0.24460 40.43836  0.26130  0.00000  0.02982
SN: PSc020198   15 0.36080 0.36020 41.74556  0.20970  0.00000  0.01711
SN: PSc030005   15 0.42020 0.41950 41.65932  0.25250  0.00000  0.02446
SN: PSc030007   15 0.25980 0.25940 40.51006  0.25090  0.00000  0.03976
SN: PSc030063   15 0.37870 0.37773 41.61306  0.20520  0.00000  0.01511
SN: PSc030066   15 0.22530 0.22410 40.17314  0.14580  0.00000  0.02507
SN: PSc030068   15 0.29630 0.29560 41.80988  0.29720  0.00000  0.00900
SN: PSc030077   15 0.35250 0.35200 41.27730  0.24350  0.00000  0.04022
SN: PSc030216   15 0.19840 0.19800 40.76098  9.57720  0.00000  0.02663
SN: PSc030245   15 0.58070 0.58000 42.40228  0.18340  0.00000  0.06287
SN: PSc030252   15 0.32570 0.32500 41.33955  0.22260  0.00000  0.03643
SN: PSc030263   15 0.29910 0.29840 40.75723  0.16700  0.00000  0.01348
SN: PSc040098   15 0.30700 0.30635 41.36344  0.22490  0.00000  0.09002
SN: PSc040121   15 0.32220 0.32170 41.02653  0.17590  0.00000  0.00928
SN: PSc040137   15 0.44740 0.44700 41.87640  0.18080  0.00000  0.04230
SN: PSc040139   15 0.26730 0.26700 40.42547  0.26310  0.00000  0.04541
SN: PSc040147   15 0.24370 0.24330 40.17384  0.25810  0.00000  0.04802
SN: PSc040150   15 0.38150 0.38100 41.64974  0.16600  0.00000  0.00938
SN: PSc040151   15 0.25610 0.25550 40.62983  0.15160  0.00000  0.01381
SN: PSc040163   15 0.41580 0.41510 41.87265  0.16730  0.00000  0.02250
SN: PSc040166   15 0.43990 0.43950 42.22890  0.16610  0.00000  0.04700
SN: PSc040168   15 0.20640 0.20580 40.14023  0.21530  0.00000  0.03204
SN: PSc040170   15 0.18980 0.18910 39.76859  0.13640  0.00000  0.01063
SN: PSc040176   15 0.34770 0.34700 41.36121  0.20950  0.00000  0.01928
SN: PSc040198   15 0.24880 0.24830 40.53568  0.17300  0.00000  0.01265
SN: PSc040316   15 0.44260 0.44220 41.99979  0.23850  0.00000  0.05004
SN: PSc040343   15 0.34280 0.34230 41.33611  0.22790  0.00000  0.03902
SN: PSc040377   15 0.35200 0.35150 41.28817  0.27730  0.00000  0.04285
SN: PSc040434   15 0.65410 0.65340 42.66511  0.17830  0.00000  0.06119
SN: PSc040473   15 0.16110 0.16060 39.22764  0.19680  0.00000  0.03479
SN: PSc040477   15 0.34580 0.34580 41.08110  0.15240  0.00000  0.01324
SN: PSc040511   15 0.31420 0.31420 40.87534  0.18790  0.00000  0.03974
SN: PSc040512   15 0.31530 0.31520 41.20864  0.14270  0.00000  0.01865
SN: PSc040530   15 0.26540 0.26540 40.68651  0.15010  0.00000  0.01448
SN: PSc040540   15 0.60920 0.60880 42.52297  0.21360  0.00000  0.05274
SN: PSc040593   15 0.32240 0.32170 41.20323  0.23320  0.00000  0.03027
SN: PSc040693   15 0.46710 0.46670 42.05408  0.22390  0.00000  0.04882
SN: PSc040782   15 0.33740 0.33730 40.93290  0.23280  0.00000  0.06046
SN: PSc040783   15 0.32860 0.32850 41.21306  0.24070  0.00000  0.02438
SN: PSc050003   15 0.42680 0.42680 41.99088  0.16510  0.00000  0.01694
SN: PSc050004   15 0.44570 0.44530 42.26552  0.19030  0.00000  0.02877
SN: PSc050005   15 0.52830 0.52790 42.20192  0.13760  0.00000  0.01638
SN: PSc050017   15 0.35340 0.35270 41.51841  0.21550  0.00000  0.02321
SN: PSc050064   15 0.60620 0.60555 42.77914  0.15020  0.00000  0.01970
SN: PSc050078   15 0.46370 0.46309 41.93685  0.22050  0.00000  0.05168
SN: PSc050172   15 0.49430 0.49360 41.90817  0.16310  0.00000  0.02709
SN: PSc050201   15 0.55010 0.55000 42.45682  0.13350  0.00000  0.02547
SN: PSc050203   15 0.57610 0.57600 42.56842  0.14490  0.00000  0.02546
SN: PSc050221   15 0.53040 0.53000 42.27612  0.09250  0.00000  0.02715
SN: PSc050251   15 0.38750 0.38720 41.70181  0.18890  0.00000  0.01342
SN: PSc050291   15 0.32540 0.32530 41.32704  0.15740  0.00000  0.01085
SN: PSc050293   15 0.36000 0.36000 41.27511  0.15980  0.00000  0.00987
SN: PSc050296   15 0.35090 0.35080 41.36486  0.13540  0.00000  0.01393
SN: PSc050298   15 0.52240 0.52230 42.03309  0.17010  0.00000  0.02651
SN: PSc050301   15 0.34700 0.34700 41.05059  0.22040  0.00000  0.05037
SN: PSc050303   15 0.32830 0.32820 41.28076  0.23150  0.00000  0.05678
SN: PSc050580   15 0.45040 0.45000 41.89046  0.14200  0.00000  0.01015
SN: PSc050607   15 0.43910 0.43870 41.95922  0.15170  0.00000  0.03591
SN: PSc050617   15 0.37880 0.37840 41.63815  0.19240  0.00000  0.01605
SN: PSc050625   15 0.33290 0.33280 41.21475  0.18200  0.00000  0.02112
SN: PSc050656   15 0.37070 0.37060 41.45175  0.14810  0.00000  0.01392
SN: PSc050665   15 0.58790 0.58790 42.57423  0.13710  0.00000  0.01979
SN: PSc050669   15 0.39290 0.39280 41.53900  0.14190  0.00000  0.01286
SN: PSc051109   15 0.23020 0.23010 40.40998  0.15790  0.00000  0.01317
SN: PSc051129   15 0.38910 0.38903 41.30187  0.20000  0.00000  0.02157
SN: PSc052122   15 0.30830 0.30678 41.26613  0.32010  0.00000  0.01096
SN: PSc052136   15 0.48080 0.48040 41.99780  0.13940  0.00000  0.01356
SN: PSc060004   15 0.49330 0.49267 41.88023  0.29650  0.00000  0.25778
SN: PSc060015   15 0.38480 0.38470 41.59342  0.16970  0.00000  0.01009
SN: PSc060029   15 0.36250 0.36244 41.42565  0.15460  0.00000  0.02290
SN: PSc060053   15 0.48680 0.48672 42.14398  0.18340  0.00000  0.04006
SN: PSc060141   15 0.19030 0.19030 39.90296  0.12680  0.00000  0.02856
SN: PSc060157   15 0.33140 0.33100 40.98319  0.19990  0.00000  0.01954
SN: PSc060169   15 0.40560 0.40550 41.88235  0.24060  0.00000  0.02038
SN: PSc060281   15 0.34250 0.34414 41.22082  0.13550  0.00000  0.03212
SN: PSc060287   15 0.28400 0.28395 40.96310  0.30760  0.00000  0.07640
SN: PSc061139   15 0.32800 0.32800 41.20289  0.18670  0.00000  0.01730
SN: PSc061191   15 0.26970 0.27050 40.81916  0.15390  0.00000  0.01680
SN: PSc061192   15 0.23380 0.23460 40.53830  0.16320  0.00000  0.01262
SN: PSc061197   15 0.32890 0.32970 40.95657  0.17660  0.00000  0.01817
SN: PSc070003   15 0.13640 0.13760 39.14301  0.23270  0.00000  0.04495
SN: PSc070020   15 0.25900 0.26020 41.64715 158.05570  0.00000  0.05482
SN: PSc070054   15 0.44680 0.44670 42.23565  0.17510  0.00000  0.02821
SN: PSc070071   15 0.36760 0.36880 41.60403  0.14030  0.00000  0.05882
SN: PSc070096   15 0.39280 0.39270 41.69518  0.17250  0.00000  0.01447
SN: PSc070110   15 0.27910 0.27990 41.02362  0.22230  0.00000  0.07576
SN: PSc070111   15 0.35260 0.35340 41.41434  0.23080  0.00000  0.03849
SN: PSc070194   15 0.47600 0.47590 42.09237  0.20230  0.00000  0.02079
SN: PSc070200   15 0.43620 0.43700 41.90932  0.22500  0.00000  0.02529
SN: PSc070232   15 0.33300 0.33292 41.82269  0.25270  0.00000  0.07031
SN: PSc070283   15 0.44250 0.44370 42.27895  0.18050  0.00000  0.01668
SN: PSc070293   15 0.33450 0.33530 41.02554  0.26340  0.00000  0.04221
SN: PSc070402   15 0.31650 0.31650 41.15456  0.13230  0.00000  0.00940
SN: PSc070459   15 0.53120 0.53230 42.46944  0.17240  0.00000  0.02291
SN: PSc070470   15 0.35170 0.35260 41.39168  0.15180  0.00000  0.01338
SN: PSc070515   15 0.47380 0.47460 42.02448  0.12670  0.00000  0.00843
SN: PSc070529   15 0.31770 0.31850 40.90765  0.13230  0.00000  0.01245
SN: PSc070530   15 0.31940 0.32020 41.09779  0.21790  0.00000  0.07811
SN: PSc070567   15 0.16900 0.17010 39.48621  0.11320  0.00000  0.01654
SN: PSc070611   15 0.14770 0.14760 39.90243 279.51290  0.00000  0.07732
SN: PSc070612   15 0.55360 0.55360 42.83761  0.18690  0.00000  0.02334
SN: PSc070622   15 0.30680 0.30671 41.97168 255.85650  0.00000  0.01918
SN: PSc070719   15 0.60820 0.60940 42.85234  0.20830  0.00000  0.03720
SN: PSc070955   15 0.34920 0.34910 41.21813  0.14500  0.00000  0.01452
SN: PSc070968   15 0.33560 0.33718 41.47687  0.14750  0.00000  0.01241
SN: PSc070985   15 0.44430 0.44550 41.76981  0.17090  0.00000  0.01559
SN: PSc070986   15 0.34360 0.34480 41.28658  0.14150  0.00000  0.01138
SN: PSc070987   15 0.43300 0.43470 41.97668  0.14920  0.00000  0.03071
SN: PSc070992   15 0.28700 0.28806 41.70058 172.63870  0.00000  0.02297
SN: PSc071007   15 0.48270 0.48390 42.40225  0.18870  0.00000  0.05443
SN: PSc071032   15 0.28380 0.28500 40.99919  0.17890  0.00000  0.04395
SN: PSc071113   15 0.49180 0.49170 42.27968  0.19400  0.00000  0.03419
SN: PSc071245   15 0.47910 0.48030 42.28318  0.14990  0.00000  0.02389
SN: PSc080012   15 0.52310 0.52430 42.35455  0.11550  0.00000  0.02271
SN: PSc080015   15 0.30050 0.30040 40.95286  0.26030  0.00000  0.05600
SN: PSc080028   15 0.27670 0.27790 40.64913  0.16310  0.00000  0.01612
SN: PSc080031   15 0.29160 0.29280 41.10857  0.30230  0.00000  0.10718
SN: PSc080034   15 0.53570 0.53690 42.65740  0.21510  0.00000  0.02351
SN: PSc080048   15 0.32140 0.32220 41.01304  0.13560  0.00000  0.01323
SN: PSc080087   15 0.34390 0.34390 41.56356  0.21420  0.00000  0.07735
SN: PSc080098   15 0.34170 0.34290 41.17587  0.24020  0.00000  0.05959
SN: PSc080146   15 0.45630 0.45670 41.84846  0.14710  0.00000  0.01260
SN: PSc080241   15 0.30730 0.30770 41.08149  0.13920  0.00000  0.00915
SN: PSc080252   15 0.51170 0.51250 42.34768  0.15970  0.00000  0.01965
SN: PSc080261   15 0.12770 0.12810 38.78173  0.13230  0.00000  0.02428
SN: PSc080295   15 0.62370 0.62450 42.66578  0.12950  0.00000  0.03104
SN: PSc080296   15 0.50010 0.50090 42.18456  0.14100  0.00000  0.03545
SN: PSc080343   15 0.45030 0.45060 42.02221  0.20160  0.00000  0.01851
SN: PSc080363   15 0.31660 0.31700 40.77657  0.21100  0.00000  0.07318
SN: PSc080438   15 0.41840 0.41880 41.75392  0.16040  0.00000  0.01579
SN: PSc080441   15 0.62220 0.62353 42.64398  0.11260  0.00000  0.01882
SN: PSc080546   15 0.61290 0.61370 42.76494  0.11180  0.00000  0.06118
SN: PSc080554   15 0.60860 0.60940 42.90335  0.15500  0.00000  0.03828
SN: PSc080555   15 0.23880 0.23960 40.36359  0.16400  0.00000  0.01311
SN: PSc080646   15 0.31860 0.31970 41.13515  0.12710  0.00000  0.02256
SN: PSc080693   15 0.34780 0.34900 41.55881  0.24050  0.00000  0.03822
SN: PSc080723   15 0.43040 0.43130 41.89818  0.12400  0.00000  0.03026
SN: PSc080735   15 0.63380 0.63500 42.87437  0.17780  0.00000  0.06111
SN: PSc080772   15 0.35750 0.35780 41.42959  0.13850  0.00000  0.01429
SN: PSc090027   15 0.39130 0.39250 41.54938  0.19850  0.00000  0.01406
SN: PSc090050   15 0.14060 0.14100 39.29169  0.15100  0.00000  0.02154
SN: PSc090097   15 0.42910 0.43030 41.85035  0.16210  0.00000  0.01583
SN: PSc090107   15 0.23730 0.23810 40.56169  0.13450  0.00000  0.02952
SN: PSc090128   15 0.43110 0.43190 42.10085  0.17690  0.00000  0.01976
SN: PSc090147   15 0.30870 0.30950 40.56973  0.25950  0.00000  0.06673
SN: PSc090196   15 0.32970 0.33050 41.25341  0.14390  0.00000  0.01050
SN: PSc090201   15 0.50880 0.51000 42.11714  0.14170  0.00000  0.01011
SN: PSc090214   15 0.37190 0.37242 41.45259  0.12330  0.00000  0.05448
SN: PSc090238   15 0.48710 0.48833 42.09324  0.15370  0.00000  0.02892
SN: PSc090256   15 0.12280 0.12400 38.88282  0.20430  0.00000  0.19614
SN: PSc090268   15 0.20960 0.21004 40.07947  0.14940  0.00000  0.01751
SN: PSc090275   15 0.13960 0.14000 39.06734  0.12760  0.00000  0.01180
SN: PSc090401   15 0.46620 0.46677 42.57005  0.21630  0.00000  0.04517
SN: PSc090638   15 0.25340 0.25420 40.64489  0.12770  0.00000  0.01437
SN: PSc090746   15 0.21950 0.21900 40.13626  0.23020  0.00000  0.07644
SN: PSc090966   15 0.59240 0.59360 42.36469  0.18780  0.00000  0.09893
SN: PSc091037   15 0.49540 0.49659 42.04077  0.14600  0.00000  0.02351
SN: PSc091437   15 0.46520 0.46600 41.60710  0.17810  0.00000  0.08039
SN: PSc091739   15 0.37310 0.37390 41.55409  0.16270  0.00000  0.01299
SN: PSc091748   15 0.14450 0.14490 39.09836  0.17400  0.00000  0.02602
SN: PSc091869   15 0.28880 0.29000 40.79281  0.18510  0.00000  0.00970
SN: PSc100014   15 0.30880 0.31000 41.00500  0.15410  0.00000  0.04238
SN: PSc100015   15 0.45070 0.45010 41.71546  0.14030  0.00000  0.03184
SN: PSc100051   15 0.27180 0.27227 40.61292  0.18040  0.00000  0.01208
SN: PSc100090   15 0.17270 0.17210 39.90127  0.19960  0.00000  0.02760
SN: PSc100101   15 0.42940 0.42880 42.16343  0.18940  0.00000  0.03188
SN: PSc100102   15 0.37080 0.37020 41.71324  0.23540  0.00000  0.01473
SN: PSc100103   15 0.56360 0.56310 42.68322  0.15200  0.00000  0.01785
SN: PSc100116   15 0.44780 0.44820 41.82191  0.15980  0.00000  0.01375
SN: PSc100121   15 0.30860 0.30980 41.31168  0.42770  0.00000  0.07014
SN: PSc100163   15 0.31800 0.31880 41.20873  0.20890  0.00000  0.01513
SN: PSc100164   15 0.40490 0.40570 41.87688  0.19900  0.00000  0.02911
SN: PSc100202   15 0.34240 0.34292 41.64543  0.17090  0.00000  0.01601
SN: PSc100206   15 0.21660 0.21700 39.95664  0.11910  0.00000  0.01991
SN: PSc100213   15 0.27520 0.27560 40.87066  0.22240  0.00000  0.01741
SN: PSc100382   15 0.37960 0.37900 41.48948  0.20970  0.00000  0.04302
SN: PSc100405   15 0.10300 0.10340 38.19517  0.18080  0.00000  0.04756
SN: PSc100417   15 0.48280 0.48220 42.32335  0.26830  0.00000  0.07355
SN: PSc100421   15 0.25770 0.25810 40.90880  0.18500  0.00000  0.03502
SN: PSc110014   15 0.32720 0.32840 41.17129  0.23320  0.00000  0.03022
SN: PSc110022   15 0.50750 0.50700 42.09000  0.25710  0.00000  0.03384
SN: PSc110033   15 0.20490 0.20570 39.85830  0.20080  0.00000  0.04336
SN: PSc110425   15 0.38060 0.38000 41.51123  0.16570  0.00000  0.02172
SN: PSc110426   15 0.54060 0.54000 42.40855  0.18580  0.00000  0.02122
SN: PSc110429   15 0.43980 0.43930 41.86511  0.16420  0.00000  0.02508
SN: PSc110430   15 0.42060 0.42000 41.73799  0.19620  0.00000  0.04034
SN: PSc110431   15 0.34260 0.34200 41.02999  0.23050  0.00000  0.10980
SN: PSc110460   15 0.19960 0.20000 39.88515  0.22640  0.00000  0.03546
SN: PSc110478   15 0.26470 0.26510 40.60045  0.18470  0.00000  0.01299
SN: PSc110484   15 0.51060 0.51000 42.05198  0.16120  0.00000  0.05285
SN: PSc110536   15 0.23480 0.23520 40.09699  0.24100  0.00000  0.08019
SN: PSc110542   15 0.42670 0.42610 41.94713  0.16710  0.00000  0.01090
