# zHD       = redshift in CMB frame with VPEC correction
# zHEL      = helio redshift (beware: no VPEC corr) 
# MU        = distance modulus corrected for bias and contamination
# MUERR     = stat-uncertainty on MU 
# MUERR_SYS = sqrt(COVSYS_DIAG) for 'ALL' sys (diagnostic)
# ISDATA_REAL: 1   # flag for cosmology fitter to choose blind option
#
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: 1000         1 0.12847 0.12947 39.20716  0.13240  0.00000  0.06972
SN: 10054        1 0.07753 0.07816 40.00658 283.69760  0.00000  0.10223
SN: 1008         1 0.22522 0.22616 40.16585  0.14830  0.00000  0.03551
SN: 10106        1 0.14698 0.14760 39.36815  0.30920  0.00000  0.05676
SN: 10113        1 0.17600 0.17650 40.40215 304.95100  0.00000  0.02632
SN: 10297        1 0.14709 0.14832 39.82176 293.53180  0.00000  0.07134
SN: 1032         1 0.12912 0.12976 38.84396  0.18400  0.00000  0.10479
SN: 10324        1 0.25057 0.25178 40.35474  0.18410  0.00000  0.04591
SN: 10434        1 0.10299 0.10416 38.45620  0.12670  0.00000  0.01825
SN: 10928        1 0.08074 0.08191 38.20920  0.49000  0.00000  0.12320
SN: 10976        1 0.09459 0.09561 39.13723  2.11830  0.00000  0.07062
SN: 11083        1 0.12088 0.12200 39.72365 316.14400  0.00000  0.10329
SN: 1112         1 0.25642 0.25763 40.64632  0.19850  0.00000  0.01383
SN: 11120        1 0.10613 0.10726 38.42754  0.14600  0.00000  0.03176
SN: 11172        1 0.13520 0.13630 39.44339 191.22240  0.00000  0.07161
SN: 11306        1 0.27307 0.27351 40.79281  0.22790  0.00000  0.02658
SN: 12308        1 0.27876 0.27999 40.86467  0.23550  0.00000  0.02558
SN: 1241         1 0.08862 0.08982 38.00810  0.16560  0.00000  0.05029
SN: 1253         1 0.26199 0.26311 40.50535  0.16410  0.00000  0.01800
SN: 12804        1 0.13264 0.13370 38.94904  0.21720  0.00000  0.03618
SN: 12852        1 0.26298 0.26400 40.77074  0.21960  0.00000  0.03479
SN: 12856        1 0.17049 0.17167 39.59143  0.14210  0.00000  0.02726
SN: 12860        1 0.12060 0.12172 38.81924  0.20170  0.00000  0.06557
SN: 12862        1 0.07718 0.07819 39.50432 255.44330  0.00000  0.04565
SN: 12874        1 0.24386 0.24508 40.31796  0.15350  0.00000  0.03561
SN: 12881        1 0.23700 0.23813 40.23490  0.18410  0.00000  0.01293
SN: 12883        1 0.30600 0.30700 40.71639  0.22500  0.00000  0.07979
SN: 12898        1 0.08262 0.08358 37.80268  0.23480  0.00000  0.05154
SN: 12907        1 0.13108 0.13211 38.87305  0.12720  0.00000  0.10070
SN: 12917        1 0.20157 0.20265 40.45352  0.19880  0.00000  0.05408
SN: 12924        1 0.25261 0.25368 40.27773  0.17250  0.00000  0.03139
SN: 12927        1 0.18905 0.18978 39.53809  0.15000  0.00000  0.03605
SN: 12930        1 0.14621 0.14717 39.41766  0.16340  0.00000  0.06337
SN: 12950        1 0.08151 0.08273 37.82515  0.20790  0.00000  0.04770
SN: 12964        1 0.21573 0.21670 40.13286  0.23200  0.00000  0.02960
