VARNAMES: SALT2c LOGMASS PROB
PDF: -0.500 7.80 0.000
PDF: -0.490 7.80 0.000
PDF: -0.480 7.80 0.000
PDF: -0.470 7.80 0.000
PDF: -0.460 7.80 0.000
PDF: -0.450 7.80 0.000
PDF: -0.440 7.80 0.000
PDF: -0.430 7.80 0.000
PDF: -0.420 7.80 0.000
PDF: -0.410 7.80 0.000
PDF: -0.400 7.80 0.000
PDF: -0.390 7.80 0.000
PDF: -0.380 7.80 0.000
PDF: -0.370 7.80 0.000
PDF: -0.360 7.80 0.000
PDF: -0.350 7.80 0.000
PDF: -0.340 7.80 0.000
PDF: -0.330 7.80 0.000
PDF: -0.320 7.80 0.000
PDF: -0.310 7.80 0.000
PDF: -0.300 7.80 0.000
PDF: -0.290 7.80 0.000
PDF: -0.280 7.80 0.000
PDF: -0.270 7.80 0.000
PDF: -0.260 7.80 0.000
PDF: -0.250 7.80 0.000
PDF: -0.240 7.80 0.000
PDF: -0.230 7.80 0.000
PDF: -0.220 7.80 0.000
PDF: -0.210 7.80 0.001
PDF: -0.200 7.80 0.002
PDF: -0.190 7.80 0.003
PDF: -0.180 7.80 0.007
PDF: -0.170 7.80 0.013
PDF: -0.160 7.80 0.023
PDF: -0.150 7.80 0.039
PDF: -0.140 7.80 0.065
PDF: -0.130 7.80 0.104
PDF: -0.120 7.80 0.158
PDF: -0.110 7.80 0.231
PDF: -0.100 7.80 0.322
PDF: -0.090 7.80 0.431
PDF: -0.080 7.80 0.552
PDF: -0.070 7.80 0.678
PDF: -0.060 7.80 0.797
PDF: -0.050 7.80 0.898
PDF: -0.040 7.80 0.968
PDF: -0.030 7.80 1.000
PDF: -0.020 7.80 0.993
PDF: -0.010 7.80 0.957
PDF: 0.000 7.80 0.895
PDF: 0.010 7.80 0.813
PDF: 0.020 7.80 0.717
PDF: 0.030 7.80 0.614
PDF: 0.040 7.80 0.510
PDF: 0.050 7.80 0.412
PDF: 0.060 7.80 0.322
PDF: 0.070 7.80 0.245
PDF: 0.080 7.80 0.181
PDF: 0.090 7.80 0.130
PDF: 0.100 7.80 0.090
PDF: 0.110 7.80 0.061
PDF: 0.120 7.80 0.040
PDF: 0.130 7.80 0.025
PDF: 0.140 7.80 0.016
PDF: 0.150 7.80 0.009
PDF: 0.160 7.80 0.005
PDF: 0.170 7.80 0.003
PDF: 0.180 7.80 0.002
PDF: 0.190 7.80 0.001
PDF: 0.200 7.80 0.000
PDF: 0.210 7.80 0.000
PDF: 0.220 7.80 0.000
PDF: 0.230 7.80 0.000
PDF: 0.240 7.80 0.000
PDF: 0.250 7.80 0.000
PDF: 0.260 7.80 0.000
PDF: 0.270 7.80 0.000
PDF: 0.280 7.80 0.000
PDF: 0.290 7.80 0.000
PDF: 0.300 7.80 0.000
PDF: 0.310 7.80 0.000
PDF: 0.320 7.80 0.000
PDF: 0.330 7.80 0.000
PDF: 0.340 7.80 0.000
PDF: 0.350 7.80 0.000
PDF: 0.360 7.80 0.000
PDF: 0.370 7.80 0.000
PDF: 0.380 7.80 0.000
PDF: 0.390 7.80 0.000
PDF: 0.400 7.80 0.000
PDF: 0.410 7.80 0.000
PDF: 0.420 7.80 0.000
PDF: 0.430 7.80 0.000
PDF: 0.440 7.80 0.000
PDF: 0.450 7.80 0.000
PDF: 0.460 7.80 0.000
PDF: 0.470 7.80 0.000
PDF: 0.480 7.80 0.000
PDF: 0.490 7.80 0.000
PDF: -0.500 8.00 0.000
PDF: -0.490 8.00 0.000
PDF: -0.480 8.00 0.000
PDF: -0.470 8.00 0.000
PDF: -0.460 8.00 0.000
PDF: -0.450 8.00 0.000
PDF: -0.440 8.00 0.000
PDF: -0.430 8.00 0.000
PDF: -0.420 8.00 0.000
PDF: -0.410 8.00 0.000
PDF: -0.400 8.00 0.000
PDF: -0.390 8.00 0.000
PDF: -0.380 8.00 0.000
PDF: -0.370 8.00 0.000
PDF: -0.360 8.00 0.000
PDF: -0.350 8.00 0.000
PDF: -0.340 8.00 0.000
PDF: -0.330 8.00 0.000
PDF: -0.320 8.00 0.000
PDF: -0.310 8.00 0.000
PDF: -0.300 8.00 0.000
PDF: -0.290 8.00 0.000
PDF: -0.280 8.00 0.000
PDF: -0.270 8.00 0.000
PDF: -0.260 8.00 0.000
PDF: -0.250 8.00 0.000
PDF: -0.240 8.00 0.000
PDF: -0.230 8.00 0.000
PDF: -0.220 8.00 0.000
PDF: -0.210 8.00 0.000
PDF: -0.200 8.00 0.001
PDF: -0.190 8.00 0.002
PDF: -0.180 8.00 0.004
PDF: -0.170 8.00 0.008
PDF: -0.160 8.00 0.016
PDF: -0.150 8.00 0.030
PDF: -0.140 8.00 0.055
PDF: -0.130 8.00 0.093
PDF: -0.120 8.00 0.150
PDF: -0.110 8.00 0.229
PDF: -0.100 8.00 0.332
PDF: -0.090 8.00 0.456
PDF: -0.080 8.00 0.594
PDF: -0.070 8.00 0.733
PDF: -0.060 8.00 0.857
PDF: -0.050 8.00 0.950
PDF: -0.040 8.00 0.998
PDF: -0.030 8.00 1.000
PDF: -0.020 8.00 0.979
PDF: -0.010 8.00 0.940
PDF: 0.000 8.00 0.885
PDF: 0.010 8.00 0.817
PDF: 0.020 8.00 0.740
PDF: 0.030 8.00 0.657
PDF: 0.040 8.00 0.572
PDF: 0.050 8.00 0.488
PDF: 0.060 8.00 0.409
