VARNAMES: SALT2c LOGMASS PROB
PDF: -0.500 8.40 0.000
PDF: -0.490 8.40 0.000
PDF: -0.480 8.40 0.000
PDF: -0.470 8.40 0.000
PDF: -0.460 8.40 0.000
PDF: -0.450 8.40 0.000
PDF: -0.440 8.40 0.000
PDF: -0.430 8.40 0.000
PDF: -0.420 8.40 0.000
PDF: -0.410 8.40 0.000
PDF: -0.400 8.40 0.000
PDF: -0.390 8.40 0.000
PDF: -0.380 8.40 0.000
PDF: -0.370 8.40 0.000
PDF: -0.360 8.40 0.000
PDF: -0.350 8.40 0.000
PDF: -0.340 8.40 0.000
PDF: -0.330 8.40 0.000
PDF: -0.320 8.40 0.000
PDF: -0.310 8.40 0.000
PDF: -0.300 8.40 0.000
PDF: -0.290 8.40 0.000
PDF: -0.280 8.40 0.000
PDF: -0.270 8.40 0.000
PDF: -0.260 8.40 0.000
PDF: -0.250 8.40 0.000
PDF: -0.240 8.40 0.000
PDF: -0.230 8.40 0.000
PDF: -0.220 8.40 0.000
PDF: -0.210 8.40 0.000
PDF: -0.200 8.40 0.000
PDF: -0.190 8.40 0.001
PDF: -0.180 8.40 0.003
PDF: -0.170 8.40 0.008
PDF: -0.160 8.40 0.018
PDF: -0.150 8.40 0.037
PDF: -0.140 8.40 0.073
PDF: -0.130 8.40 0.133
PDF: -0.120 8.40 0.224
PDF: -0.110 8.40 0.348
PDF: -0.100 8.40 0.502
PDF: -0.090 8.40 0.670
PDF: -0.080 8.40 0.827
PDF: -0.070 8.40 0.945
PDF: -0.060 8.40 1.000
PDF: -0.050 8.40 0.998
PDF: -0.040 8.40 0.983
PDF: -0.030 8.40 0.956
PDF: -0.020 8.40 0.918
PDF: -0.010 8.40 0.871
PDF: 0.000 8.40 0.816
PDF: 0.010 8.40 0.755
PDF: 0.020 8.40 0.691
PDF: 0.030 8.40 0.624
PDF: 0.040 8.40 0.556
PDF: 0.050 8.40 0.490
PDF: 0.060 8.40 0.427
PDF: 0.070 8.40 0.367
PDF: 0.080 8.40 0.312
PDF: 0.090 8.40 0.261
PDF: 0.100 8.40 0.217
PDF: 0.110 8.40 0.177
PDF: 0.120 8.40 0.143
PDF: 0.130 8.40 0.114
PDF: 0.140 8.40 0.090
PDF: 0.150 8.40 0.070
PDF: 0.160 8.40 0.054
PDF: 0.170 8.40 0.041
PDF: 0.180 8.40 0.031
PDF: 0.190 8.40 0.023
PDF: 0.200 8.40 0.017
PDF: 0.210 8.40 0.012
PDF: 0.220 8.40 0.009
PDF: 0.230 8.40 0.006
PDF: 0.240 8.40 0.004
PDF: 0.250 8.40 0.003
PDF: 0.260 8.40 0.002
PDF: 0.270 8.40 0.001
PDF: 0.280 8.40 0.001
PDF: 0.290 8.40 0.001
PDF: 0.300 8.40 0.000
PDF: 0.310 8.40 0.000
PDF: 0.320 8.40 0.000
PDF: 0.330 8.40 0.000
PDF: 0.340 8.40 0.000
PDF: 0.350 8.40 0.000
PDF: 0.360 8.40 0.000
PDF: 0.370 8.40 0.000
PDF: 0.380 8.40 0.000
PDF: 0.390 8.40 0.000
PDF: 0.400 8.40 0.000
PDF: 0.410 8.40 0.000
PDF: 0.420 8.40 0.000
PDF: 0.430 8.40 0.000
PDF: 0.440 8.40 0.000
PDF: 0.450 8.40 0.000
PDF: 0.460 8.40 0.000
PDF: 0.470 8.40 0.000
PDF: 0.480 8.40 0.000
PDF: 0.490 8.40 0.000
PDF: -0.500 8.60 0.000
PDF: -0.490 8.60 0.000
PDF: -0.480 8.60 0.000
PDF: -0.470 8.60 0.000
PDF: -0.460 8.60 0.000
PDF: -0.450 8.60 0.000
PDF: -0.440 8.60 0.000
PDF: -0.430 8.60 0.000
PDF: -0.420 8.60 0.000
PDF: -0.410 8.60 0.000
PDF: -0.400 8.60 0.000
PDF: -0.390 8.60 0.000
PDF: -0.380 8.60 0.000
PDF: -0.370 8.60 0.000
PDF: -0.360 8.60 0.000
PDF: -0.350 8.60 0.000
PDF: -0.340 8.60 0.000
PDF: -0.330 8.60 0.000
PDF: -0.320 8.60 0.000
PDF: -0.310 8.60 0.000
PDF: -0.300 8.60 0.000
PDF: -0.290 8.60 0.000
PDF: -0.280 8.60 0.000
PDF: -0.270 8.60 0.000
PDF: -0.260 8.60 0.000
PDF: -0.250 8.60 0.001
PDF: -0.240 8.60 0.001
PDF: -0.230 8.60 0.003
PDF: -0.220 8.60 0.004
PDF: -0.210 8.60 0.007
PDF: -0.200 8.60 0.011
PDF: -0.190 8.60 0.017
PDF: -0.180 8.60 0.027
PDF: -0.170 8.60 0.040
PDF: -0.160 8.60 0.058
PDF: -0.150 8.60 0.082
PDF: -0.140 8.60 0.114
PDF: -0.130 8.60 0.154
PDF: -0.120 8.60 0.205
PDF: -0.110 8.60 0.265
PDF: -0.100 8.60 0.336
PDF: -0.090 8.60 0.416
PDF: -0.080 8.60 0.503
PDF: -0.070 8.60 0.595
PDF: -0.060 8.60 0.687
PDF: -0.050 8.60 0.775
PDF: -0.040 8.60 0.854
PDF: -0.030 8.60 0.921
PDF: -0.020 8.60 0.969
PDF: -0.010 8.60 0.997
PDF: 0.000 8.60 1.000
PDF: 0.010 8.60 0.938
PDF: 0.020 8.60 0.811
PDF: 0.030 8.60 0.647
PDF: 0.040 8.60 0.475
PDF: 0.050 8.60 0.321
PDF: 0.060 8.60 0.200
PDF: 0.070 8.60 0.115
PDF: 0.080 8.60 0.061
PDF: 0.090 8.60 0.030
PDF: 0.100 8.60 0.013
PDF: 0.110 8.60 0.006
PDF: 0.120 8.60 0.002
PDF: 0.130 8.60 0.001
PDF: 0.140 8.60 0.000
PDF: 0.150 8.60 0.000
PDF: 0.160 8.60 0.000
PDF: 0.170 8.60 0.000
PDF: 0.180 8.60 0.000
PDF: 0.190 8.60 0.000
PDF: 0.200 8.60 0.000
PDF: 0.210 8.60 0.000
PDF: 0.220 8.60 0.000
PDF: 0.230 8.60 0.000
PDF: 0.240 8.60 0.000
PDF: 0.250 8.60 0.000
PDF: 0.260 8.60 0.000
PDF: 0.270 8.60 0.000
PDF: 0.280 8.60 0.000
PDF: 0.290 8.60 0.000
PDF: 0.300 8.60 0.000
PDF: 0.310 8.60 0.000
PDF: 0.320 8.60 0.000
PDF: 0.330 8.60 0.000
PDF: 0.340 8.60 0.000
PDF: 0.350 8.60 0.000
PDF: 0.360 8.60 0.000
PDF: 0.370 8.60 0.000
PDF: 0.380 8.60 0.000
PDF: 0.390 8.60 0.000
PDF: 0.400 8.60 0.000
PDF: 0.410 8.60 0.000
PDF: 0.420 8.60 0.000
PDF: 0.430 8.60 0.000
PDF: 0.440 8.60 0.000
PDF: 0.450 8.60 0.000
PDF: 0.460 8.60 0.000
PDF: 0.470 8.60 0.000
PDF: 0.480 8.60 0.000
PDF: 0.490 8.60 0.000
PDF: -0.500 8.80 0.000
PDF: -0.490 8.80 0.000
PDF: -0.480 8.80 0.000
PDF: -0.470 8.80 0.000
PDF: -0.460 8.80 0.000
PDF: -0.450 8.80 0.000
PDF: -0.440 8.80 0.000
PDF: -0.430 8.80 0.000
