DOCUMENTATION:
  PURPOSE: Search Efficiency vs SNR Curve for DES simulation
  INTENT:  Nominal
  USAGE_KEY:  SEARCHEFF_PIPELINE_EFF_FILE
  USAGE_CODE: snlc_sim.exe
  NOTES:
      - SCRIPTNAME: __main__
  VERSIONS:
      - DATE: 2022-12-01
      - CREATED_BY:  sanchezb
      - HOST_MACHINE: midway2-login2
DOCUMENTATION_END: 

# EFF vs SNR for DES
PHOTFLAG_DETECT: 4096

#MAPNAME_DETECT: EFF_DETECT_SNR_g
FILTER: g
SNR: 0.1 0.0004
SNR: 0.3 0.0006
SNR: 0.5 0.0007
SNR: 0.7 0.001
SNR: 0.9 0.0013
SNR: 1.1 0.0017
SNR: 1.3 0.0022
SNR: 1.5 0.003
SNR: 1.7 0.0039
SNR: 1.9 0.0052
SNR: 2.1 0.0068
SNR: 2.3 0.009
SNR: 2.5 0.0118
SNR: 2.7 0.0156
SNR: 2.9 0.0205
SNR: 3.1 0.0269
SNR: 3.3 0.0352
SNR: 3.5 0.0458
SNR: 3.7 0.0595
SNR: 3.9 0.0769
SNR: 4.1 0.0986
SNR: 4.3 0.1254
SNR: 4.5 0.1578
SNR: 4.7 0.1962
SNR: 4.9 0.2404
SNR: 5.1 0.2898
SNR: 5.3 0.3431
SNR: 5.5 0.3986
SNR: 5.7 0.4542
SNR: 5.9 0.5077
SNR: 6.1 0.5573
SNR: 6.3 0.6018
SNR: 6.5 0.6405
SNR: 6.7 0.6732
SNR: 6.9 0.7002
SNR: 7.1 0.7222
SNR: 7.3 0.7397
SNR: 7.5 0.7535
SNR: 7.7 0.7644
SNR: 7.9 0.7727
SNR: 8.1 0.7792
SNR: 8.3 0.7842
SNR: 8.5 0.788
SNR: 8.7 0.7909
SNR: 8.9 0.9914
SNR: 9.1 0.9934
SNR: 9.3 0.995
SNR: 9.5 0.9962
SNR: 9.7 0.9972
SNR: 9.9 0.9978
SNR: 10.1 0.9984
SNR: 10.3 0.9988
SNR: 10.5 0.9991
SNR: 10.7 0.9993
SNR: 10.9 0.9995
SNR: 11.1 0.9996
SNR: 11.3 0.9997
SNR: 11.5 0.9998
SNR: 11.7 0.9998
SNR: 11.9 0.9999
SNR: 12.1 0.9999
SNR: 12.3 0.9999
SNR: 12.5 0.9999
SNR: 12.7 1.0
SNR: 12.9 1.0
SNR: 13.1 1.0
SNR: 13.3 1.0
SNR: 13.5 1.0
SNR: 13.7 1.0
SNR: 13.9 1.0
SNR: 14.1 1.0
SNR: 14.3 1.0
SNR: 14.5 1.0
SNR: 14.7 1.0
SNR: 14.9 1.0
SNR: 100.0 1.0
ENDMAP:

#MAPNAME_DETECT: EFF_DETECT_SNR_r
FILTER: r
SNR: 0.1 0.0005
SNR: 0.3 0.0006
SNR: 0.5 0.0009
SNR: 0.7 0.0012
SNR: 0.9 0.0015
SNR: 1.1 0.0021
SNR: 1.3 0.0027
SNR: 1.5 0.0036
SNR: 1.7 0.0048
SNR: 1.9 0.0064
SNR: 2.1 0.0085
SNR: 2.3 0.0112
SNR: 2.5 0.0148
SNR: 2.7 0.0195
SNR: 2.9 0.0258
SNR: 3.1 0.0338
SNR: 3.3 0.0443
SNR: 3.5 0.0578
SNR: 3.7 0.075
SNR: 3.9 0.0966
SNR: 4.1 0.1234
SNR: 4.3 0.156
SNR: 4.5 0.1947
SNR: 4.7 0.2394
SNR: 4.9 0.2895
SNR: 5.1 0.3437
SNR: 5.3 0.4001
SNR: 5.5 0.4565
SNR: 5.7 0.5106
SNR: 5.9 0.5607
SNR: 6.1 0.6054
SNR: 6.3 0.6442
SNR: 6.5 0.6767
SNR: 6.7 0.7035
SNR: 6.9 0.7251
SNR: 7.1 0.7422
SNR: 7.3 0.7558
SNR: 7.5 0.7662
SNR: 7.7 0.7743
SNR: 7.9 0.7805
SNR: 8.1 0.7852
SNR: 8.3 0.7888
SNR: 8.5 0.7915
SNR: 8.7 0.992
SNR: 8.9 0.994
SNR: 9.1 0.9955
SNR: 9.3 0.9966
SNR: 9.5 0.9974
SNR: 9.7 0.9981
SNR: 9.9 0.9985
SNR: 10.1 0.9989
SNR: 10.3 0.9992
SNR: 10.5 0.9994
SNR: 10.7 0.9995
SNR: 10.9 0.9996
SNR: 11.1 0.9997
SNR: 11.3 0.9998
SNR: 11.5 0.9998
SNR: 11.7 0.9999
SNR: 11.9 0.9999
SNR: 12.1 0.9999
SNR: 12.3 1.0
SNR: 12.5 1.0
SNR: 12.7 1.0
SNR: 12.9 1.0
SNR: 13.1 1.0
SNR: 13.3 1.0
SNR: 13.5 1.0
SNR: 13.7 1.0
SNR: 13.9 1.0
SNR: 14.1 1.0
SNR: 14.3 1.0
SNR: 14.5 1.0
SNR: 14.7 1.0
SNR: 14.9 1.0
SNR: 100.0 1.0
ENDMAP:

